                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.3693,                 1.6471,                 1.5926,                0.53966,                 0.5781,                0.58063,                0.39619,                 1.1399,                 1.4276,                 1.5067,               0.001981,               0.001981,               0.001981
                     83,                 1.3355,                 1.6476,                 1.5737,                0.52853,                 0.6067,                0.58623,                0.40118,                 1.1449,                 1.4238,                 1.5055,               0.001882,               0.001882,               0.001882
                     84,                 1.3645,                 1.6158,                 1.5856,                0.53584,                0.58942,                0.58787,                0.39999,                 1.1391,                   1.41,                 1.5082,               0.001783,               0.001783,               0.001783
                     85,                 1.3603,                 1.6495,                 1.6042,                0.54835,                0.58903,                0.58877,                0.40082,                 1.1265,                 1.4126,                 1.4962,               0.001684,               0.001684,               0.001684
                     86,                 1.3179,                 1.5984,                 1.5544,                0.52796,                0.59524,                0.59391,                0.40741,                  1.137,                 1.3978,                  1.507,               0.001585,               0.001585,               0.001585
                     87,                 1.3478,                 1.6707,                 1.5869,                0.52468,                0.62618,                0.58676,                0.39553,                 1.1383,                 1.4146,                  1.501,               0.001486,               0.001486,               0.001486
                     88,                 1.3216,                  1.628,                 1.5798,                0.53169,                0.61054,                0.58181,                0.39869,                 1.1331,                  1.388,                  1.497,               0.001387,               0.001387,               0.001387
                     89,                 1.3386,                 1.6489,                  1.617,                0.54604,                0.60533,                0.59921,                 0.4116,                 1.1319,                 1.3955,                 1.5052,               0.001288,               0.001288,               0.001288
                     90,                 1.2696,                 1.6361,                 1.5758,                0.53131,                0.58964,                 0.5865,                0.40316,                 1.1383,                 1.4159,                 1.5097,               0.001189,               0.001189,               0.001189
                     91,                 1.2391,                 1.5712,                 1.5515,                0.54879,                0.59353,                0.59358,                0.40886,                 1.1259,                  1.394,                 1.4875,                0.00109,                0.00109,                0.00109
                     92,                 1.3212,                 1.5636,                  1.599,                0.55345,                0.60392,                0.60078,                0.41383,                 1.1275,                 1.3757,                 1.4965,               0.000991,               0.000991,               0.000991
                     93,                 1.2271,                 1.5507,                 1.5186,                0.55585,                0.58737,                0.60027,                0.41742,                 1.0958,                 1.3767,                 1.4745,               0.000892,               0.000892,               0.000892
                     94,                 1.2413,                 1.7051,                 1.5392,                0.53242,                0.61279,                0.60591,                0.42312,                 1.1008,                  1.367,                 1.4761,               0.000793,               0.000793,               0.000793
                     95,                 1.1985,                 1.5007,                 1.5214,                0.55831,                0.60137,                0.61458,                0.42832,                 1.1003,                  1.362,                 1.4728,               0.000694,               0.000694,               0.000694
                     96,                 1.2116,                 1.5751,                 1.5404,                0.55907,                0.59987,                0.61173,                0.42782,                 1.0953,                 1.3578,                 1.4668,               0.000595,               0.000595,               0.000595
                     97,                 1.2153,                 1.5082,                 1.5477,                0.56494,                0.60125,                0.61403,                0.42918,                 1.0857,                 1.3499,                 1.4617,               0.000496,               0.000496,               0.000496
                     98,                 1.1962,                 1.4694,                 1.5535,                0.55401,                 0.6013,                0.61308,                0.42838,                 1.0921,                 1.3489,                 1.4669,               0.000397,               0.000397,               0.000397
                     99,                 1.2198,                 1.5401,                 1.5494,                0.57388,                0.59129,                0.61818,                0.43089,                 1.0803,                 1.3441,                 1.4589,               0.000298,               0.000298,               0.000298
